cell_id,latitude,longitude,min_distance_to_known_deposit_km,structural_density,lineament_density,lithology_favorability,spectral_alteration_index,elevation_m,slope_deg,ndvi,ndwi,land_surface_temp_c,soil_moisture,bare_soil_index,ground_truth_probability,mineralized_target
CELL_0386,21.9,79.79684,3.99,0.492,0.46,0.315,0.37,426.1,10.5,0.349,0.012,32.3,0.294,0.619,0.45,0
CELL_0387,21.9,79.80421,3.89,0.682,0.6,0.281,0.454,410.0,13.0,0.38,-0.043,35.0,0.273,0.562,0.663,1
CELL_0388,21.9,79.81158,3.28,0.467,0.394,0.691,0.464,433.2,14.7,0.37,-0.025,34.0,0.252,0.552,0.815,1
CELL_0389,21.9,79.81895,2.68,0.537,0.513,0.513,0.462,435.0,10.3,0.327,-0.042,32.2,0.346,0.743,0.824,1
CELL_0390,21.9,79.82632,2.22,0.701,0.726,0.62,0.503,445.1,12.9,0.457,0.006,33.4,0.293,0.571,0.963,1
CELL_0391,21.9,79.83368,2.0,0.765,0.847,0.866,0.575,441.4,15.8,0.441,-0.005,33.7,0.292,0.598,0.97,1
CELL_0392,21.9,79.84105,2.11,0.791,0.76,0.81,0.555,434.2,14.3,0.495,-0.137,35.1,0.259,0.491,0.97,1
CELL_0393,21.9,79.84842,2.49,0.579,0.489,0.571,0.64,430.0,17.0,0.505,-0.047,31.2,0.278,0.479,0.913,1
CELL_0394,21.9,79.85579,3.05,0.396,0.61,0.604,0.535,420.5,12.4,0.429,-0.041,33.5,0.329,0.558,0.823,1
CELL_0395,21.9,79.86316,3.71,0.72,0.698,0.339,0.229,433.6,16.0,0.476,-0.055,31.5,0.372,0.467,0.704,1
CELL_0396,21.9,79.87053,4.42,0.436,0.405,0.289,0.391,431.9,10.0,0.449,-0.023,36.0,0.277,0.565,0.35,0
CELL_0397,21.9,79.87789,5.16,0.491,0.669,0.454,0.419,427.4,16.0,0.487,-0.068,34.6,0.308,0.62,0.608,1
CELL_0398,21.9,79.88526,5.93,0.576,0.624,0.297,0.399,433.2,11.8,0.386,-0.047,35.2,0.224,0.594,0.452,0
CELL_0399,21.9,79.89263,6.7,0.331,0.264,0.447,0.282,429.4,6.6,0.472,-0.03,30.7,0.321,0.515,0.141,0
CELL_0400,21.9,79.9,7.42,0.204,0.357,0.329,0.255,429.2,6.3,0.515,-0.003,34.4,0.204,0.451,0.059,0
